id,date,type,model,status,lost_by,nearest_location,geo,latitude,longitude,unit,tags,comment,sources,photos
41223,11/30/2025,Tanks,T-90A,Destroyed,Russia,"Peremozhne (Vasylivka hromada), Vasylivka raion","47.434371,35.526434",47.434371,35.526434,,"Mine plow/roller, Cope cage, Additional armour",,,
41292,11/30/2025,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,"Terny, Kramatorsk raion",,,,,,,,
41293,11/30/2025,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,"Terny, Kramatorsk raion",,,,,"Z, O",,,
32098,12/2/2025,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,"Terny, Kramatorsk raion","49.089111,38.001472",49.089111,38.001472,254th Motor Rifle Regiment,Cope cage,,,
40788,12/2/2025,Tanks,Unknown T-80 Obr. 2022,Destroyed,Russia,"Novopavlivka, Synelnykove raion","48.090486,36.824079",48.090486,36.824079,,"Cope cage, Jammer, Additional armour",,,
41232,12/2/2025,Tanks,Unknown T-80 Obr. 2022,Destroyed,Russia,"Razine, Pokrovsk raion","48.373167,37.336222",48.373167,37.336222,55th Guards Naval Infantry Division (ex-155th Brigade),"Mine plow/roller, Jammer, Turtle",,,
41234,12/2/2025,Transport,Ural-4320,Destroyed,Russia,"Volnovakha raion, Donetsk oblast",,,,,Cope cage,,,
41250,12/2/2025,Tanks,T-80*,Destroyed,Russia,"Razine, Pokrovsk raion","48.373083,37.335833",48.373083,37.335833,55th Guards Naval Infantry Division (ex-155th Brigade),"Mine plow/roller, Jammer, Turtle",,,
41285,12/2/2025,Infantry fighting vehicles,MT-LB(V),Destroyed,Russia,"Koptieve, Pokrovsk raion","48.375333,37.356027",48.375333,37.356027,,"Cope cage, Expanded cabin, Additional armour",,,
41286,12/2/2025,Infantry fighting vehicles,BMP-3 Obr. 2020,Abandoned,Russia,"Koptieve, Pokrovsk raion","48.369906,37.357478",48.369906,37.357478,,"Cope cage, Damaged, Jammer",,,
41305,12/2/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Novoolenivka, Kramatorsk raion","48.398656,37.530851",48.398656,37.530851,,Jammer,,,
41309,12/2/2025,Transport,KamAZ-5385,Destroyed,Russia,,,,,Southern Military District,,,,
41736,12/2/2025,Tanks,Unknown T-80 Obr. 2022,Destroyed,Russia,"Pankivka, Pokrovsk raion","48.428183,37.328863",48.428183,37.328863,55th Guards Naval Infantry Division (ex-155th Brigade),"Mine plow/roller, Loitering, Jammer, Turtle",,,
41818,12/2/2025,Tanks,Unknown T-80 Obr. 2022,Destroyed,Russia,"Koptieve, Pokrovsk raion","48.37445,37.34771",48.37445,37.34771,55th Guards Naval Infantry Division (ex-155th Brigade),"Mine plow/roller, Jammer, Turtle",,,
41251,12/3/2025,Engineering,BTS-4V armoured recovery vehicle,Destroyed,Russia,"Torske (Lyman hromada), Kramatorsk raion","49.044876,38.051738",49.044876,38.051738,,Cope cage,,,
41278,12/3/2025,Infantry fighting vehicles,BTR-70M,Destroyed,Russia,"Kramatorsk raion, Donetsk oblast",,,,252nd Guards Motor Rifle Regiment,"Cope cage, Jammer, Additional armour",,,
41280,12/3/2025,Infantry fighting vehicles,BTR-82A(M),Destroyed,Russia,"Kramatorsk raion, Donetsk oblast",,,,252nd Guards Motor Rifle Regiment,"Cope cage, Jammer, Additional armour",,,
41282,12/3/2025,Transport,ZiL-131,Destroyed,Russia,"Svatove raion, Luhansk oblast",,,,,"Cope cage, Jammer",,,
41296,12/3/2025,Drones,Supercam S350 reconnaissance UAV,Destroyed,Russia,"Veselianka, Zaporizhzhia raion","47.650469,35.372721",47.650469,35.372721,,Loitering,,,
41322,12/3/2025,Infantry fighting vehicles,BTR-70M,Destroyed,Russia,"Kramatorsk raion, Donetsk oblast",,,,252nd Guards Motor Rifle Regiment,"Cope cage, Jammer",,,
41436,12/3/2025,Engineering,TMM-3M1 bridge layer,Destroyed,Russia,"Novotoretske (Shakhove hromada), Pokrovsk raion","48.404805,37.337799",48.404805,37.337799,,"Cope cage, Jammer, Additional armour",,,
41763,12/3/2025,Tanks,T-80BV Obr. 2022,Destroyed,Russia,"Torske (Lyman hromada), Kramatorsk raion","48.98041,37.99413",48.98041,37.99413,25th Combined Arms Army,Cope cage,,,
41457,12/4/2025,Infantry fighting vehicles,BMP-3,Destroyed,Russia,,,,,,"Turretless, Shattered",,,
41283,12/5/2025,Drones,Orion UCAV,Destroyed,Russia,"Saky airbase, Yevpatoriia raion","45.09853,33.60615",45.09853,33.60615,,Loitering,,,
41903,12/5/2025,Transport,ZiL-131-based vehicle,Destroyed,Russia,"Stepove (Velykomykhailivka hromada), Synelnykove raion","47.888522,36.428076",47.888522,36.428076,,"Improvised, Expanded cabin",,,
41904,12/5/2025,Transport,ZiL-131-based vehicle,Destroyed,Russia,"Synelnykove raion, Dnipropetrovsk oblast",,,,,"Jammer, Improvised, Expanded cabin",,,
41905,12/5/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Stepove (Velykomykhailivka hromada), Synelnykove raion","47.888580,36.428087",47.88858,36.428087,,Jammer,,,
41325,12/6/2025,Other,'Kuryer' logistics UGV,Destroyed,Russia,"Hatyshche, Chuhuiv raion","50.298126,36.882540",50.298126,36.88254,,,,,
41333,12/6/2025,Engineering,TMM-3 bridge layer,Damaged,Russia,"Hatyshche, Chuhuiv raion","50.298413,36.882195",50.298413,36.882195,Leningrad Military District,Cope cage,,,
41398,12/6/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Shevchenko Pershe, Pokrovsk raion","48.375028,37.384722",48.375028,37.384722,,,,,
41402,12/6/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Novotoretske (Shakhove hromada), Pokrovsk raion","48.397512,37.331986",48.397512,37.331986,,,,,
41403,12/6/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Novotoretske (Shakhove hromada), Pokrovsk raion","48.397546,37.331848",48.397546,37.331848,,Cope cage,,,
41406,12/6/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Novotoretske (Shakhove hromada), Pokrovsk raion","48.397100,37.326880",48.3971,37.32688,,"Cope cage, Jammer",,,
41407,12/6/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Koptieve, Pokrovsk raion","48.39525,37.349083",48.39525,37.349083,,,,,
41414,12/6/2025,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,"Malynivka, Pokrovsk raion","48.334861,37.417579",48.334861,37.417579,,,,,
41590,12/6/2025,Towed artillery,122mm 2A18 D-30 howitzer,Destroyed,Russia,"Torske (Lyman hromada), Kramatorsk raion","48.96799,38.01952",48.96799,38.01952,,,,,
41815,12/6/2025,Rocket and missile artillery,107mm Type 75 towed MRL,Destroyed,Russia,"Yampolivka, Kramatorsk raion","49.05796,37.94350",49.05796,37.9435,,,,,
41381,12/7/2025,Rocket and missile artillery,107mm Type 75 towed MRL,Destroyed,Russia,"Kramatorsk raion, Donetsk oblast",,,,,,,,
41462,12/7/2025,Self-propelled artillery,152mm 2S5 'Giatsint-S',Destroyed,Russia,"Maiorsk checkpoint, Horlivka raion","48.398785,37.959451",48.398785,37.959451,,,,,
41384,12/8/2025,Other,'Kuryer' logistics UGV,Destroyed,Russia,"Loknia, Sumy raion","51.157542,35.062261",51.157542,35.062261,,,,,
41385,12/8/2025,Other,'Kuryer' armed UGV,Destroyed,Russia,"Kramatorsk raion, Donetsk oblast",,,,,,,,
41392,12/8/2025,Other,'Kuryer' mine-laying UGV,Destroyed,Russia,"Novomykolaivka, Sumy raion","51.15645,34.90070",51.15645,34.9007,,,,,
